BuildingType,PropertyGFABuilding(s),YearBuilt,Longitude,NumberofBuildings,Neighborhood,NumberofFloors,PrimaryPropertyType,ComplianceStatus,SiteEnergyUse(kBtu),PropertyGFATotal,TotalGHGEmissions,Latitude,PropertyGFAParking,ListOfAllPropertyUseTypes,CouncilDistrictCode,OSEBuildingID,Age,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,Hospital,Hotel,K-12 School,Laboratory,Large Office,Low-Rise Multifamily,Medical Office,Mixed Use Property,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Small- and Mid-Sized Office,Supermarket / Grocery Store,University,Warehouse,Worship Facility,NonResidential,Nonresidential COS,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7
NonResidential,2.039809001536512,1902,-122.33318,0.9090909090909091,Downtown,1.0203072757974183,Small- and Mid-Sized Office,1,9.734959518587074,1.820152723578701,2.667658254294808,47.599790000000006,0.0,"Office, Retail Store",CSC 7,25659,23.653957699574388,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.0376361212984997,1998,-122.32661,0.9090909090909091,Lake union,0.9316864056685098,Small- and Mid-Sized Office,1,10.761333608445769,1.8200407114238253,3.8723036160323483,47.6342,2.3659543916709143,"Laboratory, Office",CSC 4,26587,7.499077242030887,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
NonResidential,2.0394363034421534,1930,-122.33248,0.9090909090909091,Downtown,0.7978618320884237,Small- and Mid-Sized Office,1,9.596185632494121,1.8199553690198826,1.3428092301519214,47.59856,0.0,"Distribution Center, Office",CSC 2,26705,19.975135217694806,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
NonResidential,2.0368011818134955,1917,-122.32468,0.9090909090909091,Downtown,0.7978618320884237,Retail Store,1,9.891555768023634,1.8185397736533682,1.9335524574156682,47.59935,0.0,"Office, Retail Store",CSC 2,26849,21.739465504914055,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
NonResidential,2.045746957765526,2005,-122.32238999999998,0.9090909090909091,Greater duwamish,1.0203072757974183,Large Office,1,11.56594296221629,1.8231748187635073,6.585738047723024,47.5735,0.0,"Office, Other - Services",CSC 2,48287,5.392980935718334,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
NonResidential,2.0463838213344743,1988,-122.34401000000001,0.9090909090909091,Downtown,1.3026066495715642,Large Office,1,11.10263807817508,1.8240649194424672,5.184231563872535,47.61156,2.402146226955642,"Data Center, Multifamily Housing, Office, Other, Parking",CSC 7,49776,9.97896049531284,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.0431452098100573,2013,-122.37661000000001,0.9090909090909091,Magnolia / queen anne,0.9316864056685098,Large Office,1,10.054422885328453,1.8224884809845476,2.2889701571938,47.63449,2.3847084693992633,"Office, Parking",CSC 7,49793,2.095125403922089,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.0461450734308135,2014,-122.33475,0.9090909090909091,Greater duwamish,1.171439663536796,Large Office,1,10.624622032188642,1.8240099140262016,3.847309489546548,47.58872,2.402016069568623,"Office, Parking",CSC 2,49867,1.5177804113640463,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
NonResidential,2.0418445679287647,1920,-122.33765,0.9090909090909091,Downtown,0.7978618320884237,Other,1,10.011245819350693,1.821216498046388,3.5962164328791477,47.61076,0.0,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",CSC 7,58,21.341737195808,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.046364718827408,1929,-122.33543999999999,0.9090909090909091,Downtown,1.413282996140748,Large Office,1,11.183452481288453,1.8235496626647187,6.77790661731587,47.607690000000005,2.3719656727601963,"Office, Other - Technology/Science, Parking",CSC 7,765,20.11480282237562,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
