PrimaryPropertyType,Latitude,NumberofFloors,ComplianceStatus,BuildingType,CouncilDistrictCode,OSEBuildingID,Neighborhood,PropertyGFAParking,TotalGHGEmissions,PropertyGFATotal,PropertyGFABuilding(s),SiteEnergyUse(kBtu),NumberofBuildings,Longitude,RecentUpgrade,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,High-Rise Multifamily,Hospital,Hotel,K-12 School,Laboratory,Low-Rise Multifamily,Medical Office,Mid-Rise Multifamily,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Supermarket / Grocery Store,University,Warehouse,Worship Facility,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),NonResidential,Nonresidential COS,Nonresidential WA,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7,Age
Other,47.60940552,1.5099949159285826,1,NonResidential,CSC 7,21471,Downtown,0.0,1.691939133945844,1.682527755546891,1.8188868583131876,12.933427997419857,0.5623822165765427,-122.33934021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,112
Other,47.60705128,1.1152529779653029,1,NonResidential,CSC 7,21474,Downtown,0.0,0.15700374880966478,1.682699838029668,1.8191663867768737,10.091086824325448,0.5623822165765427,-122.33903590000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,116
Low-Rise Multifamily,47.63869344,1.2521923674291737,1,Multifamily LR (1-4),CSC 7,21555,Magnolia / queen anne,1.6053257454925245,1.6900958154515549,1.681098727234159,1.8161479317438993,13.358871622016357,0.5623822165765427,-122.3442697,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,31
Warehouse,47.54941353,0.6203866890374208,1,NonResidential,CSC 2,21688,Southeast,0.0,3.6301904577652566,1.6815329421868048,1.817293228735074,14.023781660654096,0.5623822165765427,-122.2866398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,64
K-12 School,47.64171214,0.6203866890374208,1,NonResidential,CSC 3,21796,East,0.0,4.188896879163323,1.6834336214700094,1.8203745457354084,14.747503758253705,0.5623822165765427,-122.31738590000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,111
Worship Facility,47.54179702,0.9233437133343848,1,NonResidential,CSC 2,22138,Southeast,0.0,0.49469624183610705,1.6809876760874976,1.8164333039711753,11.42951124680385,0.5623822165765427,-122.27030459999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,89
Low-Rise Multifamily,47.67578585,1.2521923674291737,1,Multifamily LR (1-4),CSC 6,22172,Ballard,1.6121485491861587,1.4724720573609429,1.6814667748123013,1.8157798960710236,13.084646972212253,0.5623822165765427,-122.38805819999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,37
Office,47.66247704,0.9233437133343848,1,NonResidential,CSC 6,22441,Ballard,0.0,3.8480176754522337,1.6821938748927867,1.818347996482894,14.750655624509996,0.5623822165765427,-122.36956059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,37
Low-Rise Multifamily,47.70579684,1.1152529779653029,1,Multifamily LR (1-4),CSC 5,22808,North,1.6068731366184847,2.0869135565185366,1.682280502067928,1.8182472204114282,13.82799233546633,0.5623822165765427,-122.3010673,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,33
Worship Facility,47.5170917,0.6203866890374208,1,NonResidential,CSC 1,22830,Southwest,0.0,1.0885619528146082,1.6811849672200079,1.8167434715357673,12.552845222465454,0.5623822165765427,-122.3779648,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,45
Medical Office,47.59703102,1.2521923674291737,1,NonResidential,CSC 3,23163,Downtown,1.615300387589034,2.605648267484129,1.6824837977776856,1.8161756617078753,14.402685924950777,0.5623822165765427,-122.3168033,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,21
Mid-Rise Multifamily,47.63465825,1.3569138984326496,1,Multifamily MR (5-9),CSC 7,23174,Magnolia / queen anne,0.0,2.414126467726953,1.6817766725903838,1.8176804882117488,13.57141657087369,0.5623822165765427,-122.34681640000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,47
Low-Rise Multifamily,47.60570876,1.1152529779653029,1,Multifamily LR (1-4),CSC 3,23308,East,0.0,1.551808799597464,1.680858839861029,1.8162313205588068,13.187150617608749,0.5623822165765427,-122.32289320000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,57
Restaurant,47.61522339,0.9233437133343848,1,NonResidential,CSC 7,23848,Downtown,0.0,4.78757507264335,1.6823337170072232,1.818573156276367,15.154895684856399,0.5623822165765427,-122.35415400000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,114
Low-Rise Multifamily,47.69374427,1.1152529779653029,1,Multifamily LR (1-4),CSC 5,24068,North,1.6076224326789041,2.551006451492524,1.6831183425569227,1.8197342497476818,14.343543679883942,0.5623822165765427,-122.3060084,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22
Low-Rise Multifamily,47.70384555,1.2521923674291737,1,Multifamily LR (1-4),CSC 6,24168,Northwest,1.6142037416556345,2.157559320943788,1.6826063610491757,1.81790002925913,13.90861193652583,0.5623822165765427,-122.3567108,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,26
K-12 School,47.69548916,0.6203866890374208,1,SPS-District K-12,CSC 5,24408,Northwest,0.0,,1.6837414320884374,1.820890793837418,,0.5623822165765427,-122.34018780000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,63
K-12 School,47.60870162,0.9233437133343848,1,NonResidential,CSC 3,24547,Central,0.0,0.3001045924503381,1.6812249457809427,1.816806454282966,10.941889716805212,0.5623822165765427,-122.29982290000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,87
Other,47.58787647,1.1152529779653029,1,NonResidential,CSC 2,24717,Greater duwamish,0.0,0.11332868530700317,1.6815544060971446,1.8173272573229478,9.749811759932081,0.5623822165765427,-122.3345773,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,106
Low-Rise Multifamily,47.61945359,1.2521923674291737,1,Multifamily LR (1-4),CSC 3,24739,East,1.6128498505096702,4.79015486020153,1.6825379098493929,1.818212902729501,14.776762800726381,0.5623822165765427,-122.3105108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,89
Warehouse,47.58293152,0.9233437133343848,1,NonResidential,CSC 2,24825,Greater duwamish,0.0,2.1138429683971687,1.6808552006351107,1.8162256214533181,12.628011316331227,0.5623822165765427,-122.33468500000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,106
Mixed Use Property,47.63452966,0.9233437133343848,1,NonResidential,CSC 7,24904,Magnolia / queen anne,0.0,2.8673305587494666,1.6811005250186641,1.8166105868619002,13.297727453630785,0.5623822165765427,-122.37575690000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,88
Other,47.58809497,0.9233437133343848,1,NonResidential,CSC 2,25042,Greater duwamish,0.0,3.1688448912626357,1.6819606992918894,1.8179741737867743,13.403040472188568,0.5623822165765427,-122.310103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,50
Other,47.62617011,0.6203866890374208,1,NonResidential,CSC 7,25455,Magnolia / queen anne,0.0,4.928918964476265,1.681106130276044,1.816619401613224,15.272214453297117,0.5623822165765427,-122.3401021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,94
Mid-Rise Multifamily,47.73219752,1.440724097438709,1,Multifamily MR (5-9),CSC 5,25617,North,0.0,2.0294631718735947,1.6819014247338762,1.8178794529233142,13.76227643401648,0.5623822165765427,-122.293457,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,30
Retail Store,47.59894541,0.9233437133343848,1,NonResidential,CSC 2,25654,Downtown,0.0,0.8241754429663494,1.6809352581559645,1.816351072889563,12.123114859808851,0.5623822165765427,-122.33326720000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,116
Low-Rise Multifamily,47.61432913,1.1152529779653029,1,NonResidential,CSC 3,25674,East,0.0,1.7369512327330598,1.6818817634415701,1.8178480607447671,11.449474352389611,0.5623822165765427,-122.3197623,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,106
Low-Rise Multifamily,47.65682293,1.2521923674291737,1,Multifamily LR (1-4),CSC 4,25701,Northeast,1.6116944026897135,1.6937790608678513,1.6817607358570927,1.8166857826858693,13.363626571963765,0.5623822165765427,-122.3205154,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,29
Low-Rise Multifamily,47.5986876,1.2521923674291737,1,Multifamily LR (1-4),CSC 2,25821,Downtown,0.0,3.876395827784995,1.6817218522277668,1.817593219394913,14.122686386487016,0.5623822165765427,-122.32338,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,96
Low-Rise Multifamily,47.60184462,1.1152529779653029,1,Multifamily LR (1-4),CSC 3,26938,Central,0.0,2.286455711064162,1.6823709454781235,1.8186332257690532,14.184131167483825,0.5623822165765427,-122.30569209999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,107
Worship Facility,47.661542299999994,0.9233437133343848,1,NonResidential,CSC 4,27007,Northeast,0.0,0.6151856390902334,1.680729612289683,1.8160291553655754,11.713062381634185,0.5623822165765427,-122.2787693,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,62
