PrimaryPropertyType,Latitude,NumberofFloors,ComplianceStatus,BuildingType,CouncilDistrictCode,OSEBuildingID,Neighborhood,PropertyGFAParking,TotalGHGEmissions,PropertyGFATotal,PropertyGFABuilding(s),SiteEnergyUse(kBtu),NumberofBuildings,Longitude,RecentUpgrade,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,High-Rise Multifamily,Hospital,Hotel,K-12 School,Laboratory,Low-Rise Multifamily,Medical Office,Mid-Rise Multifamily,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Supermarket / Grocery Store,University,Warehouse,Worship Facility,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),NonResidential,Nonresidential COS,Nonresidential WA,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7,Age
Distribution Center,47.55105,2.0,1,NonResidential,CSC 1,21192,Delridge,0,30.02,28368,28368,1856230.625,2.0,-122.34695,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45
Low-Rise Multifamily,47.632909999999995,4.0,1,Multifamily LR (1-4),CSC 7,21196,Magnolia / queen anne,32397,28.6,185403,153006,4103027.5,8.0,-122.34513000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,28
High-Rise Multifamily,47.60892,11.0,1,Multifamily HR (10+),CSC 7,21372,East,0,336.73,105776,105776,5902943.0,1.0,-122.32896000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,88
Mid-Rise Multifamily,47.63491,6.0,1,Multifamily MR (5-9),CSC 7,21198,Magnolia / queen anne,0,32.99,131732,131732,4039667.0,3.0,-122.34266000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21
Low-Rise Multifamily,47.732690000000005,3.0,1,Multifamily LR (1-4),CSC 5,21202,Northwest,0,66.19,57247,57247,2870914.75,1.0,-122.34952,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,46
Low-Rise Multifamily,47.73255,4.0,1,Multifamily LR (1-4),CSC 5,21203,Northwest,0,12.49,95353,95353,1791865.75,1.0,-122.35506000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9
Low-Rise Multifamily,47.72305,3.0,1,Multifamily LR (1-4),CSC 5,21207,Northwest,0,4.76,30940,30940,682632.3125,1.0,-122.34878,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,40
Other,47.724709999999995,2.0,1,NonResidential,CSC 5,21208,Northwest,0,127.1,92080,92080,5155090.5,1.0,-122.3412,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,52
Mid-Rise Multifamily,47.72435,6.0,1,Multifamily MR (5-9),CSC 5,21210,Northwest,0,234.6,186870,186870,7539963.5,1.0,-122.34697,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9
Other,47.722879999999996,1.0,1,NonResidential,CSC 5,21212,Northwest,0,49.58,20236,20236,1965182.25,1.0,-122.34065,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,55
Office,47.720040000000004,2.0,1,NonResidential,CSC 5,21213,Northwest,0,40.22,39815,39815,2050600.75,1.0,-122.34418000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,65
Low-Rise Multifamily,47.73375,3.0,1,Multifamily LR (1-4),CSC 5,21215,Northwest,0,20.78,89068,89068,2980240.5,16.0,-122.34851,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,38
Other,47.72299,4.0,1,Nonresidential COS,CSC 5,21216,Northwest,0,15.9,25557,25557,2280352.5,1.0,-122.34293000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,46
Other,47.721340000000005,2.0,1,Nonresidential COS,CSC 5,21218,Northwest,0,122.73,26994,26994,3076813.25,1.0,-122.34102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,58
