PrimaryPropertyType,Latitude,NumberofFloors,ComplianceStatus,BuildingType,CouncilDistrictCode,OSEBuildingID,Neighborhood,PropertyGFAParking,TotalGHGEmissions,PropertyGFATotal,PropertyGFABuilding(s),SiteEnergyUse(kBtu),NumberofBuildings,Longitude,RecentUpgrade,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,High-Rise Multifamily,Hospital,Hotel,K-12 School,Laboratory,Low-Rise Multifamily,Medical Office,Mid-Rise Multifamily,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Supermarket / Grocery Store,University,Warehouse,Worship Facility,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),NonResidential,Nonresidential COS,Nonresidential WA,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7,Age
Warehouse,47.572790000000005,1.0,1,NonResidential,CSC 1,23277,Greater duwamish,0,2.25,20200,20200,269016.6875,1.0,-122.35066,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,116
High-Rise Multifamily,47.60492,17.0,1,Multifamily HR (10+),CSC 3,23284,East,0,349.55,212938,212938,10769230.0,1.0,-122.32531999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,49
Low-Rise Multifamily,47.60523,3.0,1,Multifamily LR (1-4),CSC 3,23285,East,0,78.42,32688,32688,1721727.25,1.0,-122.3249,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,86
Low-Rise Multifamily,47.60538,3.0,1,Multifamily LR (1-4),CSC 3,23286,East,0,128.54,50145,50145,2944680.75,1.0,-122.3257,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,68
High-Rise Multifamily,47.60668,26.0,1,Multifamily HR (10+),CSC 3,23287,East,174156,567.6,629615,455459,25970248.0,1.0,-122.32619,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8
Low-Rise Multifamily,47.60733,4.0,1,Multifamily LR (1-4),CSC 3,23288,East,0,85.78,24900,24900,1872278.625,1.0,-122.32727,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,96
Low-Rise Multifamily,47.607459999999996,4.0,1,Multifamily LR (1-4),CSC 3,23289,East,0,97.4,25380,25380,1988760.875,1.0,-122.32699,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,87
Mid-Rise Multifamily,47.60707,6.0,1,Multifamily MR (5-9),CSC 3,23290,East,0,48.08,32489,32489,2023858.75,1.0,-122.32651000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7
High-Rise Multifamily,47.60759,17.0,1,Multifamily HR (10+),CSC 7,23292,East,95356,235.32,332781,237425,13491170.0,1.0,-122.32813999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10
Low-Rise Multifamily,47.60796,4.0,1,Multifamily LR (1-4),CSC 7,23293,East,0,114.33,54770,54770,2960377.25,1.0,-122.32717,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,114
Low-Rise Multifamily,47.60771,4.0,1,Multifamily LR (1-4),CSC 7,23295,East,0,5.81,33872,33872,400354.3125,1.0,-122.32717,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,110
Residence Hall,47.6073,1.0,1,NonResidential,CSC 3,23297,East,0,184.0,44086,44086,3652708.75,1.0,-122.32585,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,112
Office,47.606629999999996,7.0,1,NonResidential,CSC 3,23299,East,20824,9.79,54372,33548,1403820.0,1.0,-122.32526000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,46
Low-Rise Multifamily,47.60629,3.0,1,Multifamily LR (1-4),CSC 3,23300,East,0,5.79,24039,24039,831071.3125,1.0,-122.32444,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,60
Mid-Rise Multifamily,47.60583,7.0,1,Multifamily MR (5-9),CSC 3,23301,East,0,132.1,45564,45564,3014332.0,1.0,-122.32468999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,56
High-Rise Multifamily,47.60445,11.0,1,Multifamily HR (10+),CSC 3,23304,East,0,259.77,92183,92183,5104947.0,1.0,-122.32171000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,49
Low-Rise Multifamily,47.60522,4.0,1,Multifamily LR (1-4),CSC 3,23305,East,0,56.7,25316,25316,1515854.875,1.0,-122.32274,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,91
Low-Rise Multifamily,47.6051,3.0,1,Multifamily LR (1-4),CSC 3,23306,East,0,12.97,51098,51098,1859782.625,1.0,-122.32149,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,59
Mid-Rise Multifamily,47.604859999999995,6.0,1,Multifamily MR (5-9),CSC 3,23307,East,0,8.33,57042,57042,1195351.25,1.0,-122.32224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,17
Other,47.60709,1.0,1,NonResidential,CSC 3,23310,East,0,712.39,47699,47699,14524386.0,1.0,-122.32416,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,65
Medical Office,47.60862,0.0,1,NonResidential,CSC 3,23311,East,0,1110.07,274568,274568,25311526.0,1.0,-122.32372,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,71
Office,47.60819,3.0,1,NonResidential,CSC 3,23313,East,0,62.23,21282,21282,1245923.75,1.0,-122.32282,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,60
High-Rise Multifamily,47.61056,17.0,1,Multifamily HR (10+),CSC 3,23319,East,0,18.95,76855,76855,2718223.0,1.0,-122.32525,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,34
Other,47.545629999999996,2.0,1,NonResidential,CSC 2,23320,Southeast,0,26.41,41022,41022,3787648.25,1.0,-122.27616,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,95
Low-Rise Multifamily,47.72742,4.0,1,Multifamily LR (1-4),CSC 5,23322,North,0,21.55,93087,93087,1967434.5,1.0,-122.29525,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,34
Low-Rise Multifamily,47.72741,3.0,1,Multifamily LR (1-4),CSC 5,23323,North,0,30.86,86835,86835,2299535.25,1.0,-122.29477,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,51
Other,47.57058,2.0,1,NonResidential,CSC 1,23397,Delridge,0,38.39,28109,28109,3612526.75,1.0,-122.35626,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50
Low-Rise Multifamily,47.72898,4.0,1,Multifamily LR (1-4),CSC 5,23327,North,0,26.33,128649,128649,3776252.25,3.0,-122.2941,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,26
Office,47.729859999999995,3.0,1,NonResidential,CSC 5,23331,North,12990,2.86,33580,20590,409578.4063,1.0,-122.29278000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,31
Senior Care Community,47.72892,7.0,1,Multifamily MR (5-9),CSC 5,23335,North,41141,99.39,165914,124773,4217623.0,1.0,-122.29183,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6
Low-Rise Multifamily,47.722409999999996,4.0,1,Multifamily LR (1-4),CSC 5,23338,North,0,3.7,21388,21388,530700.125,1.0,-122.29668999999998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15
Mid-Rise Multifamily,47.72186,6.0,1,Multifamily MR (5-9),CSC 5,23340,North,0,13.74,103554,103554,1971236.0,1.0,-122.29733,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16
Warehouse,47.72051,1.0,1,NonResidential,CSC 5,23342,North,0,2.69,21936,21936,113130.0,1.0,-122.30103000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,39
Other,47.72083,1.0,1,NonResidential,CSC 5,23343,North,0,44.26,30160,30160,1045838.5,1.0,-122.29978999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,47
Low-Rise Multifamily,47.54732,4.0,1,Multifamily LR (1-4),CSC 1,23360,Southwest,0,4.91,28645,28645,703847.375,1.0,-122.38753,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25
Low-Rise Multifamily,47.544109999999996,4.0,1,Multifamily LR (1-4),CSC 1,23364,Southwest,0,13.09,34544,34544,923492.6875,1.0,-122.38762,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25
Low-Rise Multifamily,47.54365,3.0,1,Multifamily LR (1-4),CSC 1,23365,Southwest,0,4.21,22195,22195,604183.1875,1.0,-122.38766000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56
Mid-Rise Multifamily,47.5923,5.0,1,Multifamily MR (5-9),CSC 1,23367,Southwest,0,39.77,72155,72155,1999039.75,1.0,-122.38322,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40
Mixed Use Property,47.61056,11.0,1,NonResidential,CSC 7,23368,Downtown,0,294.65,111137,111137,9546165.0,1.0,-122.33661000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,107
Low-Rise Multifamily,47.54914,3.0,1,Multifamily LR (1-4),CSC 1,23372,Southwest,0,4.39,30080,30080,629027.3125,1.0,-122.38758,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27
High-Rise Multifamily,47.61633,25.0,1,Multifamily HR (10+),CSC 7,23373,Downtown,5480,351.53,260685,255205,14361382.0,1.0,-122.34893999999998,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23
Low-Rise Multifamily,47.59018,4.0,1,Multifamily LR (1-4),CSC 2,23377,Greater duwamish,0,3.44,20467,20467,493000.0,1.0,-122.31687,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,53
Other,47.563190000000006,1.0,1,NonResidential,CSC 1,23396,Delridge,0,37.65,40189,40189,1509292.0,1.0,-122.35067,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19
Office,47.56877,2.0,1,NonResidential,CSC 1,23400,Delridge,0,21.24,66484,66484,3046543.0,1.0,-122.36368999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28
Office,47.607890000000005,3.0,1,NonResidential,CSC 3,23404,East,0,62.05,25151,25151,1356874.75,1.0,-122.32248999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,57
Hotel,47.60958,6.0,1,NonResidential,CSC 3,23408,East,0,112.34,35770,35770,2640980.25,1.0,-122.32646000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,88
Mid-Rise Multifamily,47.60973,5.0,1,Multifamily MR (5-9),CSC 3,23409,East,0,125.42,51900,51900,2746152.0,1.0,-122.32593999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,91
Hotel,47.609809999999996,9.0,1,NonResidential,CSC 3,23410,East,0,101.31,48006,48006,3239754.0,1.0,-122.32687,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,88
Mixed Use Property,47.59949,2.0,1,NonResidential,CSC 2,23416,Downtown,0,146.93,29631,29631,5144392.0,1.0,-122.31851,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,56
Office,47.59727,2.0,1,NonResidential,CSC 2,23418,Downtown,0,46.45,23472,23472,1625308.625,1.0,-122.32196,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,27
Office,47.5956,2.0,1,Nonresidential COS,CSC 2,23419,Greater duwamish,0,110.66,21315,21315,2796425.0,1.0,-122.32292,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,43
Mid-Rise Multifamily,47.59296,5.0,1,Multifamily MR (5-9),CSC 1,23420,Southwest,0,32.04,23821,23821,924438.125,1.0,-122.39038000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20
High-Rise Multifamily,47.61273,11.0,1,Multifamily HR (10+),CSC 3,23421,East,0,11.88,53290,53290,1703504.875,1.0,-122.32481000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,36
Low-Rise Multifamily,47.64934,4.0,1,Multifamily LR (1-4),CSC 4,23430,Lake union,0,5.07,32040,32040,727703.5,1.0,-122.32396000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25
Low-Rise Multifamily,47.62484,4.0,1,Multifamily LR (1-4),CSC 7,23432,Magnolia / queen anne,0,5.82,22716,22716,835093.1875,1.0,-122.3629,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,31
Low-Rise Multifamily,47.62526,4.0,1,Multifamily LR (1-4),CSC 7,23433,Magnolia / queen anne,0,44.51,43477,43477,1820814.75,1.0,-122.3629,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,49
Mid-Rise Multifamily,47.62575,5.0,1,Multifamily MR (5-9),CSC 7,23435,Magnolia / queen anne,0,4.6,31040,31040,644081.125,1.0,-122.36296000000002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,86
Low-Rise Multifamily,47.62616,4.0,1,Multifamily LR (1-4),CSC 7,23438,Magnolia / queen anne,22000,14.51,109864,87864,2081072.625,1.0,-122.36357,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,34
Low-Rise Multifamily,47.62563,4.0,1,Multifamily LR (1-4),CSC 7,23439,Magnolia / queen anne,0,7.13,25357,25357,570228.6875,1.0,-122.36358,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,34
Low-Rise Multifamily,47.627959999999995,4.0,1,Multifamily LR (1-4),CSC 7,23440,Magnolia / queen anne,0,34.62,24084,24084,1177379.75,1.0,-122.3597,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,41
Low-Rise Multifamily,47.626909999999995,4.0,1,Multifamily LR (1-4),CSC 7,23446,Magnolia / queen anne,0,24.26,24280,24280,829440.625,1.0,-122.35638999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,101
Low-Rise Multifamily,47.626509999999996,4.0,1,Multifamily LR (1-4),CSC 7,23447,Magnolia / queen anne,0,6.19,36732,36732,888593.6875,1.0,-122.35632,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,58
Low-Rise Multifamily,47.62749,4.0,1,Multifamily LR (1-4),CSC 7,23449,Magnolia / queen anne,0,80.15,41137,41137,1790148.625,1.0,-122.35648,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,87
Low-Rise Multifamily,47.62847,3.0,1,Multifamily LR (1-4),CSC 7,23450,Magnolia / queen anne,0,24.93,21234,21234,740230.375,1.0,-122.35645,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,103
Mid-Rise Multifamily,47.62828,5.0,1,Multifamily MR (5-9),CSC 7,23451,Magnolia / queen anne,0,4.55,29454,29454,652429.875,1.0,-122.35635,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,54
Low-Rise Multifamily,47.62855,4.0,1,Multifamily LR (1-4),CSC 7,23452,Magnolia / queen anne,0,4.2,25596,25596,602191.1875,1.0,-122.35713,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,54
Low-Rise Multifamily,47.628009999999996,3.0,1,Multifamily LR (1-4),CSC 7,23453,Magnolia / queen anne,0,42.1,23120,23120,999924.3125,1.0,-122.35701,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,68
Mid-Rise Multifamily,47.627629999999996,6.0,1,Multifamily MR (5-9),CSC 7,23454,Magnolia / queen anne,0,9.16,39212,39212,1313366.0,1.0,-122.35668999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,58
Low-Rise Multifamily,47.628,4.0,1,Multifamily LR (1-4),CSC 7,23457,Magnolia / queen anne,0,3.74,22093,22093,536511.5,1.0,-122.35768999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,56
Low-Rise Multifamily,47.62522,2.0,1,Multifamily LR (1-4),CSC 7,23458,Magnolia / queen anne,0,4.74,22113,22113,679565.625,1.0,-122.35707,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,110
Office,47.62481,4.0,1,NonResidential,CSC 7,23459,Magnolia / queen anne,15812,24.31,57110,41298,2190460.0,1.0,-122.35762,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,32
Low-Rise Multifamily,47.625609999999995,4.0,1,Multifamily LR (1-4),CSC 7,23462,Magnolia / queen anne,0,6.85,40370,40370,982153.875,1.0,-122.35763,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,102
Low-Rise Multifamily,47.62526,4.0,1,Multifamily LR (1-4),CSC 7,23465,Magnolia / queen anne,0,145.21,51150,51150,3245598.0,1.0,-122.35471000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,92
Mid-Rise Multifamily,47.62657,8.0,1,Multifamily MR (5-9),CSC 7,23466,Magnolia / queen anne,0,250.84,129860,129860,5838129.0,1.0,-122.3584,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,66
Low-Rise Multifamily,47.588,4.0,1,Multifamily LR (1-4),CSC 2,23484,Greater duwamish,0,8.08,35796,35796,1158549.25,1.0,-122.3177,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,48
Office,47.61833,3.0,1,NonResidential,CSC 7,23846,Downtown,0,22.26,34030,34030,1748629.875,1.0,-122.35871000000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,37
Low-Rise Multifamily,47.73357,3.0,1,Multifamily LR (1-4),CSC 5,23495,North,0,16.13,72671,72671,2082754.75,1.0,-122.29501,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,41
Low-Rise Multifamily,47.7336,2.0,1,Multifamily LR (1-4),CSC 5,23496,North,0,4.73,22382,22382,678980.125,1.0,-122.29433999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,49
Low-Rise Multifamily,47.73225,3.0,1,Multifamily LR (1-4),CSC 5,23499,North,0,4.68,27639,27639,671004.625,1.0,-122.29494,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,39
