Longitude,Neighborhood,BuildingType,TotalGHGEmissions,ComplianceStatus,PropertyGFAParking,CouncilDistrictCode,PropertyGFABuilding(s),OSEBuildingID,SiteEnergyUse(kBtu),PropertyGFATotal,NumberofBuildings,Latitude,NumberofFloors,PrimaryPropertyType,RecentUpgrade,Age,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,High-Rise Multifamily,Hospital,Hotel,K-12 School,Laboratory,Low-Rise Multifamily,Medical Office,Mid-Rise Multifamily,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Supermarket / Grocery Store,University,Warehouse,Worship Facility,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),NonResidential,Nonresidential COS,Nonresidential WA,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7
-122.310103,Greater duwamish,NonResidential,3.1688448912626357,1,0.0,CSC 2,2.1042732008998817,25042,13.403040472188568,1.9415110647171139,0.5482643928877449,47.58809497,0.8115026719592557,Other,0,15.004173418081733,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-122.3401021,Magnolia / queen anne,NonResidential,4.928918964476265,1,0.0,CSC 7,2.101311146256782,25455,15.272214453297117,1.9395604776321385,0.5482643928877449,47.62617011,0.5703095532392818,Other,0,22.225748726869796,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33326720000001,Downtown,NonResidential,0.8241754429663494,1,0.0,CSC 2,2.100733884609149,25654,12.123114859808851,1.939177037107056,0.5482643928877449,47.59894541,0.8115026719592557,Retail Store,0,25.283420449478637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-122.3197623,East,NonResidential,1.7369512327330598,1,0.0,CSC 3,2.1039938314003432,25674,11.449474352389611,1.9413283746173946,0.5482643928877449,47.61432913,0.9511921592896965,Low-Rise Multifamily,0,23.926797113036216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-122.2787693,Northeast,NonResidential,0.6151856390902334,1,0.0,CSC 4,2.1000450379389832,27007,11.713062381634185,1.938718165869143,0.5482643928877449,47.661542299999994,0.8115026719592557,Worship Facility,0,17.17306943811298,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
-122.35187531,Magnolia / queen anne,NonResidential,4.566429357671661,1,0.0,CSC 7,2.1013293381282763,27639,14.933480603746666,1.9395725447825722,0.5482643928877449,47.62526703,0.8115026719592557,Other,0,4.422336737364369,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.31642099999999,East,NonResidential,1.884034745337226,1,0.0,CSC 3,2.1005765162292667,27829,13.592363256643033,1.9390723313677969,0.5482643928877449,47.613921999999995,0.8115026719592557,Office,0,22.51531762717323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-122.37426470000001,Magnolia / queen anne,Campus,8.482779784627144,1,2.364322984549066,CSC 7,2.115207210419008,49859,18.87561185763897,1.949055467694137,1.0907801611955381,47.62811223,1.0445242012870617,Other,0,6.531074126886217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-122.33798999999999,Downtown,NonResidential,5.525373254682162,1,0.0,CSC 7,2.1100227180957876,1,15.793246493880627,1.945199698018505,0.5482643928877449,47.6122,1.3315401742537551,Hotel,0,21.490307101669753,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33393000000001,Downtown,NonResidential,5.6932606471966185,1,2.333640479701882,CSC 7,2.110026284009144,2,15.942304802589588,1.9456417551314942,0.5482643928877449,47.613170000000004,1.313144126264852,Hotel,0,8.300775166107377,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.3381,Downtown,NonResidential,7.6450533072773705,1,2.3609766207791636,CSC 7,2.116292055222708,3,18.100296744814614,1.9492060266412696,0.5482643928877449,47.613929999999996,1.5223207620831571,Hotel,0,14.429164288580742,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33663999999999,Downtown,NonResidential,5.660979352330892,1,0.0,CSC 7,2.1081681999879436,5,15.731636529382916,1.9440262492839195,0.5482643928877449,47.61412,1.2921492819017737,Hotel,0,21.63875259279381,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.34047,Downtown,NonResidential,6.226556431938032,1,2.3522008660092206,CSC 7,2.1111179877585573,8,16.466821574984518,1.9468844378432517,0.5482643928877449,47.61375,1.4079820886918577,Hotel,0,12.176602250560444,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33657,Downtown,Nonresidential COS,5.713105546117053,1,2.3467307300679776,CSC 7,2.1080559182036316,9,16.307609365403174,1.9454710119173622,0.5482643928877449,47.61623,0.8115026719592557,Other,0,7.447308973361476,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-122.33283,Downtown,NonResidential,5.176940380381437,1,0.0,CSC 7,2.1097244777105986,10,15.566238983044945,1.9450121907499618,0.5482643928877449,47.6139,1.313144126264852,Hotel,0,21.63875259279381,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33136,Downtown,NonResidential,5.404972044416576,1,0.0,CSC 7,2.1106953247295213,11,15.6557637188467,1.945620746722435,0.5482643928877449,47.61327,1.239474429883026,Other,0,21.63875259279381,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33263000000001,Downtown,NonResidential,5.974216653698429,1,0.0,CSC 7,2.1125084477336222,12,16.434643640030767,1.9467418925896793,0.5482643928877449,47.602940000000004,1.3754493859418562,Hotel,0,24.74690160931959,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33413999999999,Downtown,NonResidential,6.539961607594982,1,2.337720377841649,CSC 7,2.1117705153296416,15,16.589139051954007,1.9465943980149132,0.5482643928877449,47.60695,1.313144126264852,Hotel,0,14.429164288580742,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33323,Downtown,NonResidential,6.609308811083168,1,2.352069734341924,CSC 7,2.1140695726916405,16,17.109163967888286,1.9480037733210385,0.5482643928877449,47.60713,1.4595818593930014,Hotel,0,7.73805800994802,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33346,Downtown,NonResidential,5.796756594662978,1,0.0,CSC 7,2.108485979267046,17,15.701982831633819,1.9442285483389592,0.5482643928877449,47.60699,1.2678975519134406,Hotel,0,21.341161603275598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33211999999999,Downtown,NonResidential,6.476387576550862,1,2.3514833513164355,CSC 7,2.1139271020574077,18,16.921234033977285,1.9479243409213205,0.5482643928877449,47.608090000000004,1.4968209333529567,Hotel,0,12.176602250560444,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33243999999999,Downtown,NonResidential,6.239086053829017,1,2.341695211636319,CSC 7,2.108645888744399,19,16.190417335793235,1.9453196023900412,0.5482643928877449,47.60755,1.313144126264852,Hotel,0,22.225748726869796,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33296999999999,Downtown,Nonresidential COS,5.206092422505519,1,2.3513794660021037,CSC 7,2.114752946636406,21,16.738073088320842,1.9483007867035245,0.5482643928877449,47.60649,1.313144126264852,Other,0,5.87645510446315,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-122.33278999999999,Downtown,NonResidential,6.075024140206913,1,0.0,CSC 7,2.11074330669087,22,16.113725817126603,1.9456506832872336,0.5482643928877449,47.60546,1.164201619984473,Other,0,21.04072538487479,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33078,Downtown,NonResidential,6.6894624438984165,1,2.3550363765269116,CSC 7,2.11458363294217,23,17.328748801997715,1.9483144362893055,0.5482643928877449,47.606809999999996,1.4754455491922576,Hotel,0,11.514628194176922,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33158999999999,Downtown,NonResidential,5.613201096424962,1,0.0,CSC 7,2.1078032917548106,24,15.844459208532589,1.9437933603032338,0.5482643928877449,47.60515,1.1122735634108494,Mixed Use Property,0,24.339217152628333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33193999999999,Downtown,NonResidential,5.858847022493143,1,0.0,CSC 7,2.11076149993967,25,16.13343824905496,1.9456620307256915,0.5482643928877449,47.60376,1.2921492819017737,Hotel,0,23.086976246866612,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33051,Downtown,NonResidential,7.143846644402559,1,0.0,CSC 7,2.1156709394204305,26,17.621827854829043,1.9486360140602386,0.5482643928877449,47.60265,1.2921492819017737,Other,0,23.086976246866612,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
